Order ID,Order Date,Ship Date,year,month,Customer ID,Segment,Country,City,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,profit margin(%),Delivery days
CA-2017-152156,1970-01-01 00:00:00.000043047,1970-01-01 00:00:00.000043050,1970,January,CG-12520,Consumer,United States,Henderson,South,Furniture,Bookcases,261.96,2,0.0,41.9136,16.0,0
CA-2017-152156,1970-01-01 00:00:00.000043047,1970-01-01 00:00:00.000043050,1970,January,CG-12520,Consumer,United States,Henderson,South,Furniture,Chairs,731.9399999999999,3,0.0,219.58199999999997,30.0,0
CA-2017-138688,1970-01-01 00:00:00.000042898,1970-01-01 00:00:00.000042902,1970,January,DV-13045,Corporate,United States,Los Angeles,West,Office Supplies,Labels,14.62,2,0.0,6.8713999999999995,47.0,0
US-2016-108966,1970-01-01 00:00:00.000042654,1970-01-01 00:00:00.000042661,1970,January,SO-20335,Consumer,United States,Fort Lauderdale,South,Furniture,Tables,957.5775,5,0.45,-383.03100000000006,-40.0,0
US-2016-108966,1970-01-01 00:00:00.000042654,1970-01-01 00:00:00.000042661,1970,January,SO-20335,Consumer,United States,Fort Lauderdale,South,Office Supplies,Storage,22.368000000000002,2,0.2,2.516399999999999,11.25,0
CA-2015-115812,1970-01-01 00:00:00.000042164,1970-01-01 00:00:00.000042169,1970,January,BH-11710,Consumer,United States,Los Angeles,West,Furniture,Furnishings,48.86,7,0.0,14.169399999999996,29.0,0
CA-2015-115812,1970-01-01 00:00:00.000042164,1970-01-01 00:00:00.000042169,1970,January,BH-11710,Consumer,United States,Los Angeles,West,Office Supplies,Art,7.28,4,0.0,1.9656000000000002,27.0,0
CA-2015-115812,1970-01-01 00:00:00.000042164,1970-01-01 00:00:00.000042169,1970,January,BH-11710,Consumer,United States,Los Angeles,West,Technology,Phones,907.152,6,0.2,90.71520000000004,10.0,0
CA-2015-115812,1970-01-01 00:00:00.000042164,1970-01-01 00:00:00.000042169,1970,January,BH-11710,Consumer,United States,Los Angeles,West,Office Supplies,Binders,18.504,3,0.2,5.7825,31.25,0
CA-2015-115812,1970-01-01 00:00:00.000042164,1970-01-01 00:00:00.000042169,1970,January,BH-11710,Consumer,United States,Los Angeles,West,Office Supplies,Appliances,114.9,5,0.0,34.46999999999999,30.0,0
CA-2015-115812,1970-01-01 00:00:00.000042164,1970-01-01 00:00:00.000042169,1970,January,BH-11710,Consumer,United States,Los Angeles,West,Furniture,Tables,1706.1840000000002,9,0.2,85.3091999999998,5.0,0
CA-2015-115812,1970-01-01 00:00:00.000042164,1970-01-01 00:00:00.000042169,1970,January,BH-11710,Consumer,United States,Los Angeles,West,Technology,Phones,911.424,4,0.2,68.35680000000002,7.5,0
CA-2018-114412,1970-01-01 00:00:00.000043205,1970-01-01 00:00:00.000043210,1970,January,AA-10480,Consumer,United States,Concord,South,Office Supplies,Paper,15.552000000000003,3,0.2,5.4432,35.0,0
CA-2017-161389,1970-01-01 00:00:00.000043074,1970-01-01 00:00:00.000043079,1970,January,IM-15070,Consumer,United States,Seattle,West,Office Supplies,Binders,407.97600000000006,3,0.2,132.59219999999993,32.5,0
US-2016-118983,1970-01-01 00:00:00.000042696,1970-01-01 00:00:00.000042700,1970,January,HP-14815,Home Office,United States,Fort Worth,Central,Office Supplies,Appliances,68.80999999999999,5,0.8,-123.858,-180.0,0
